# Sensor Calle Hernando de Zafra, Centro, Spain (Citizen Science project sensor.community/47617)
# https://aqicn.org/station/@128242/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-01-23T00:00:00.000Z,0.7,35.92,2.04,1.54,2.65,2.774,196
2021-01-24T00:00:00.000Z,0.4,6.57,2.46,1.44,3.07,1.165,196
2021-01-25T00:00:00.000Z,0.5,5.8,1.8,1.2,2.38,0.792,178
2021-01-26T00:00:00.000Z,0.2,2.97,0.9,0.6,1.4,0.614,197
2021-01-27T00:00:00.000Z,0.2,4.65,1,0.7,2.13,1.133,187
2021-01-28T00:00:00.000Z,0.56,9.98,1.96,1.2,4.96,2.567,200
2021-01-29T00:00:00.000Z,1.3,14.52,4.4,3.63,7.07,2.579,205
2021-01-30T00:00:00.000Z,0.08,7.43,2.62,0.6,4.28,2.06,194
2021-01-31T00:00:00.000Z,0.8,5.9,2.5,1.75,3.6,1.147,199
2021-02-01T00:00:00.000Z,0.08,2.65,0.7,0.5,1.17,0.636,173
2021-02-02T00:00:00.000Z,1.85,9.44,3.7,2.98,4.7,1.527,177
2021-02-03T00:00:00.000Z,2.15,8.5,4.21,3.44,4.98,1.201,168
2021-02-04T00:00:00.000Z,2.97,12.05,4.8,3.92,6.19,1.613,185
2021-02-05T00:00:00.000Z,0.85,12.93,7.97,3.4,9.85,3.507,171
2021-02-06T00:00:00.000Z,0.7,3.88,2.1,1.67,2.63,0.67,169
2021-02-07T00:00:00.000Z,0.35,3.97,1.32,0.93,1.98,0.806,182
2021-02-08T00:00:00.000Z,0.52,4.84,2.04,1.45,2.59,0.88,192
2021-02-09T00:00:00.000Z,0.65,6.15,2.29,1.45,3.28,1.161,179
2021-02-10T00:00:00.000Z,0.2,8.32,1.49,0.93,3.01,1.645,180
2021-02-11T00:00:00.000Z,0.1,4.72,1,0.55,1.67,1.164,171
2021-02-12T00:00:00.000Z,0.2,2.95,1.24,0.73,1.92,0.696,186
2021-02-13T00:00:00.000Z,0.93,7.97,2.8,1.88,3.82,1.505,188
2021-02-14T00:00:00.000Z,1.2,5.88,2.85,2.35,3.42,0.815,183
2021-02-15T00:00:00.000Z,1.98,5.28,3.25,2.8,3.7,0.607,175
2021-02-16T00:00:00.000Z,1.2,38.15,2.27,1.77,3.4,3.108,175
2021-02-17T00:00:00.000Z,2.9,22.3,5.05,3.97,9.48,4.895,178
2021-02-18T00:00:00.000Z,2.83,22.15,9.69,4.8,13.29,4.752,188
2021-02-19T00:00:00.000Z,2.17,39.03,15.75,9.24,24.31,9.034,185
2021-02-20T00:00:00.000Z,7.57,28.92,16.66,14.28,20.39,5.144,188
2021-02-21T00:00:00.000Z,0.13,23.17,10.6,0.9,13.45,6.947,194
2021-02-22T00:00:00.000Z,0.43,3.95,1.02,0.73,1.58,0.746,173
2021-02-23T00:00:00.000Z,0.7,6.38,1.83,1.34,2.54,0.853,173
2021-02-24T00:00:00.000Z,2,11.73,6.79,3.29,8.51,2.623,176
2021-02-25T00:00:00.000Z,6.15,13.95,9.1,7.8,10.8,1.899,175
2021-02-26T00:00:00.000Z,5.25,13.88,9.18,7.47,11.02,2.117,177
2021-02-27T00:00:00.000Z,4.3,13.1,7.09,6.06,8.81,1.747,188
2021-02-28T00:00:00.000Z,5.9,13.63,8.94,8.05,9.94,1.446,192
2021-03-01T00:00:00.000Z,4.59,18.25,9.66,7.02,12.11,3.125,180
2021-03-02T00:00:00.000Z,8.8,18.5,14.63,12.75,15.95,2.188,187
2021-03-03T00:00:00.000Z,12.32,22.15,17.23,15.55,19.05,2.217,183
2021-03-04T00:00:00.000Z,8.69,21.05,14.55,12.2,17.8,3.286,182
2021-03-05T00:00:00.000Z,8.8,20.5,12.56,11.63,13.85,1.994,190
2021-03-06T00:00:00.000Z,9.17,17.82,13.67,12.3,14.82,1.852,190
2021-03-07T00:00:00.000Z,2.25,152.75,10.95,7.32,14.48,14.137,199
2021-03-08T00:00:00.000Z,2.58,10.73,5.28,4.38,6.5,1.688,183
2021-03-09T00:00:00.000Z,2.2,8.48,4.43,3.47,6.2,1.612,191
2021-03-10T00:00:00.000Z,1.95,8.48,3.72,3,6.03,1.752,186
2021-03-11T00:00:00.000Z,2.85,16.39,5.8,5.18,8.32,2.784,183
2021-03-12T00:00:00.000Z,0.7,13.65,2.25,1.4,5.9,2.589,187
2021-03-13T00:00:00.000Z,1.45,17.07,5.09,2.6,6.68,2.738,190
2021-03-14T00:00:00.000Z,1.6,17.92,3.13,2.45,7.25,3.516,187
2021-03-15T00:00:00.000Z,1,4.47,2.08,1.48,2.67,0.8,176
2021-03-16T00:00:00.000Z,0.7,6.68,1.92,1.42,2.79,1,177
2021-03-17T00:00:00.000Z,1.45,5.65,2.94,2.38,3.83,0.938,186
2021-03-18T00:00:00.000Z,0.45,8.25,1.8,1.26,3.12,1.275,184
2021-03-19T00:00:00.000Z,0.6,3.92,1.55,1.2,1.89,0.571,180
2021-03-20T00:00:00.000Z,0.3,2.78,1.2,0.82,1.7,0.59,184
2021-03-21T00:00:00.000Z,0.5,4.22,1.47,1.1,1.75,0.541,170
2021-03-22T00:00:00.000Z,0.9,5.18,2.08,1.57,2.52,0.707,169
2021-03-23T00:00:00.000Z,1.42,7.72,2.95,2.25,3.6,1.008,208
2021-03-24T00:00:00.000Z,1.2,6.85,2.42,1.84,3.34,0.98,173
