# Sensor G 651, Tingsryds kommun, Sweden (Citizen Science project sensor.community/11763)
# https://aqicn.org/station/@59650/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2020-07-10T00:00:00.000Z,0.6,5.3,0.9,0.8,1.03,0.6,421
2020-07-11T00:00:00.000Z,0.53,2.02,1,0.8,1.3,0.342,341
2020-07-12T00:00:00.000Z,0.6,2.7,1.1,0.93,1.3,0.29,404
2020-07-13T00:00:00.000Z,0.9,2.9,1.43,1.3,1.6,0.292,398
2020-07-14T00:00:00.000Z,1.07,2.23,1.5,1.3,1.7,0.233,439
2020-07-15T00:00:00.000Z,0.9,4.3,1.9,1.53,2.29,0.647,353
2020-07-16T00:00:00.000Z,1.3,4.8,1.9,1.7,3.4,1.031,326
2020-07-17T00:00:00.000Z,1.2,2.87,1.77,1.53,2.02,0.347,489
2020-07-18T00:00:00.000Z,1.2,2.9,1.77,1.6,2,0.357,449
2020-07-19T00:00:00.000Z,2.1,5.47,3.3,2.8,4.17,0.877,161
2020-07-20T00:00:00.000Z,0.5,4.7,1.13,0.9,3.6,1.425,174
2020-07-21T00:00:00.000Z,0.4,1.67,0.97,0.8,1.1,0.217,267
2020-07-22T00:00:00.000Z,0.4,1.9,0.77,0.6,1.2,0.332,277
2020-07-23T00:00:00.000Z,0.47,1.4,0.8,0.7,1,0.178,300
2020-07-24T00:00:00.000Z,0.5,3.17,1.3,0.9,1.7,0.61,387
2020-07-25T00:00:00.000Z,0.7,1.57,1,0.9,1.2,0.232,83
2020-07-26T00:00:00.000Z,0.9,15.47,1.5,1.2,3.34,2.494,449
2020-07-27T00:00:00.000Z,1.1,2.4,1.52,1.4,1.77,0.277,282
2020-07-28T00:00:00.000Z,0.8,5.97,2.02,1.4,3,1.293,423
2020-07-29T00:00:00.000Z,0.6,1.8,1,0.9,1.2,0.22,332
2020-07-30T00:00:00.000Z,0.4,1.67,0.9,0.7,1.1,0.242,380
2020-07-31T00:00:00.000Z,0.6,2.06,1.1,0.9,1.49,0.326,369
2020-08-01T00:00:00.000Z,0.8,2.06,1.3,1.1,1.5,0.233,364
2020-08-02T00:00:00.000Z,1.1,28.67,2.6,1.6,4.63,2.238,326
