date, pm25, pm10, no2
2022/2/12, 26, 17, 4
2022/2/13, 27, 13, 9
2022/2/14, 40, 14, 8
2022/2/15, 33, 7, 8
2022/2/16, 19, 3, 7
2022/2/17, 8, 34, 14
2022/2/18, 23, 4, 9
2022/2/19, 11, 5, 8
2022/2/20, 13, 3, 7
2022/2/21, 7, 6, 13
2022/2/22, 19, 6, 14
2022/2/23, 17, 5, 8
2022/2/24, 14, 6, 14
2022/2/25, 14, 58, 11
2022/2/26, 32, 45, 7
2022/2/27, 25, 62, 13
2022/2/28, 31, 70, 11
2022/3/1, 44, 38, 15
2022/3/2, 41, 45, 10
2022/3/3, 20, 56, 19
2022/3/4, 33, 54, 12
2022/3/5, 31, 35, 8
2022/3/6, 24, 44, 17
2022/3/7, 26, 63, 21
2022/3/8, 41, 28, 16
2022/3/9, 34, 33, 6
2022/3/10, 29, 46, 14
2022/3/11, 45, 87, 20
2022/3/12, 63, 58, 13
2022/3/13, 58, 69, 17
2022/3/14, 81, 46, 11
2022/3/15, 80, 59, 22
2022/3/16, 85, 40, 8
2022/3/17, 61, 31, 10
2022/3/18, 44, 47, 14
2022/3/19, 35, 58, 14
2022/3/20, 41, 58, 16
2022/3/21, 73, 64, 17
2022/3/22, 81, 51, 14
2022/3/23, 62, 56, 17
2022/3/24, 58, 41, 12
2022/3/25, 50, 69, 4
2022/3/26, 30, 25, 7
