date, pm25, pm10, o3, no2, so2, co
2022/7/24, 51, 35, 1, 3, , 
2022/7/25, 50, 30, , 3, 18, 
2022/7/26, 45, 27, 1, 3, 37, 
2022/7/27, 38, 33, 1, 4, 39, 
2022/7/28, 44, 40, 1, 4, 19, 
2022/7/29, 49, 36, 1, 3, 11, 
2022/7/30, 39, 41, 1, 3, 10, 
2022/7/31, 44, 39, 1, 3, 8, 
2022/8/1, 46, 45, 1, 3, 10, 
2022/8/2, 53, 32, 1, 4, 11, 
2022/8/3, 50, 27, 1, 4, 6, 
2022/8/4, 37, 23, 1, 3, 7, 
2022/8/5, 29, 18, 1, 3, 7, 
2022/8/6, 21, 16, 1, 3, 4, 
2022/8/7, 16, 18, , 4, 3, 
2022/8/8, 16, 37, , 3, 4, 
2022/8/9, 23, 40, 1, 3, 1, 
2022/8/12, 47, 40, 1, 3, 14, 
2022/8/13, 47, 35, 1, 2, 5, 
2022/8/14, 48, 34, , 2, 1, 
2022/8/15, 48, 30, , 3, , 
2022/8/16, 48, 31, 1, 3, 28, 
2022/8/17, 56, 33, 1, 3, 39, 
2022/8/18, 54, 31, 1, 3, 13, 
2022/8/19, 54, 30, , 3, 11, 
2022/8/20, 51, 32, 1, 2, 2, 
2022/8/21, 45, 32, 1, 2, , 
2022/8/22, 49, 31, 1, 3, , 
2022/8/23, 56, 30, 1, 3, , 
2022/8/24, 48, 33, 1, 3, , 
2022/8/25, 47, 42, , 4, , 1
2022/8/26, 65, 55, , 3, , 2
2022/8/27, 74, 48, 1, 4, , 2
2022/8/28, 64, 42, 1, 6, , 2
2022/8/29, 63, 58, , 5, , 2
2022/8/30, 84, 58, 1, 4, , 2
2022/8/31, 79, 32, 1, 12, , 2
2022/9/1, 50, 50, , , , 6
2022/9/2, 99, 41, , , 1, 6
2022/9/3, 75, 34, 1, , 1, 3
2022/9/4, 58, 32, 1, , , 2
2022/9/5, 43, 30, 1, , , 2
2022/9/6, 42, 43, , , , 3
2022/9/7, 50, 32, 1, , , 4
2022/9/8, 68, 29, , , , 4
2022/9/9, 60, 20, 1, 2, 2, 3
2022/9/10, 32, 29, 1, , 2, 4
2022/9/11, 52, 20, , , 2, 3
2022/9/12, 28, 18, 1, , 2, 3
2022/9/13, 28, 21, , , 1, 2
2022/9/14, 23, 27, 1, 3, 1, 2
2022/9/15, 36, 26, 1, 2, 1, 3
